Date,Open,High,Low,Close,Adj Close,Volume
2017-07-05,40.290001,40.470001,39.02,39.040001,39.040001,1572400
2017-07-06,38.880001,39.389999,38.360001,38.669998,38.669998,1481600
2017-07-07,38.779999,39.560001,38.709999,39.400002,39.400002,1142200
2017-07-10,39.369999,39.759998,39.110001,39.540001,39.540001,1072100
2017-07-11,39.599998,39.849998,39.240002,39.810001,39.810001,1225600
2017-07-12,40.200001,41.950001,40.18,41.790001,41.790001,3303500
2017-07-13,41.900002,41.900002,40.77,41.529999,41.529999,2052900
2017-07-14,41.619999,43.400002,41.599998,42.939999,42.939999,2926700
2017-07-17,43.0,43.0,42.419998,42.720001,42.720001,2738600
2017-07-18,42.799999,44.66,42.540001,44.02,44.02,2868300
2017-07-19,45.040001,46.75,45.0,45.669998,45.669998,4849100
2017-07-20,45.849998,46.639999,44.919998,46.27,46.27,3234400
2017-07-21,46.029999,46.279999,45.040001,45.150002,45.150002,2192600
2017-07-24,45.209999,45.389999,44.610001,44.98,44.98,1781200
2017-07-25,45.610001,45.830002,45.029999,45.459999,45.459999,1815281
